Team,Won,Lost,Record
#1 Ohio State,90,10,9-1
#2 Ball State,88.89,11.11,8-1
#3 Loyola ,66.67,33.33,6-3
#4 Lewis,54.54,45.45,6-5
#5 Grand Canyon,40,60,4-6
#6 McKendree,40,60,4-6
#7 Quincy,30,70,3-7
#8 Lindenwood,25,75,2-6
#9 IPFW,0,100,0-7
